id,date,season,location,availablecompounds,comment,nolaps,nolapsplanned,tracklength
22,2015-04-12,2015,Shanghai,"A2,A3,I,W","Race finished behind SC",56,56,5451.0
23,2015-04-19,2015,Sakhir,"A2,A3,I,W",,57,57,5412.0
24,2015-05-10,2015,Catalunya,"A1,A2,I,W",,66,66,4655.0
25,2015-05-24,2015,MonteCarlo,"A3,A4,I,W","SC followed directly on VSC",78,78,3337.0
26,2015-06-07,2015,Montreal,"A3,A4,I,W",,70,70,4361.0
27,2015-06-21,2015,Spielberg,"A3,A4,I,W",,71,71,4318.0
28,2015-07-05,2015,Silverstone,"A1,A2,I,W","Rain in the end",52,52,5891.0
29,2015-07-26,2015,Budapest,"A2,A3,I,W","SC followed directly on VSC, SC through pit lane",69,70,4381.0
30,2015-08-23,2015,Spa,"A2,A3,I,W",,43,44,7004.0
31,2015-09-06,2015,Monza,"A2,A3,I,W",,53,53,5793.0
32,2015-09-20,2015,Singapore,"A3,A4,I,W","SC followed directly on VSC",61,61,5063.0
33,2015-09-27,2015,Suzuka,"A1,A2,I,W",,53,53,5807.0
34,2015-10-11,2015,Sochi,"A3,A4,I,W",,53,53,5848.0
35,2015-10-25,2015,Austin,"A2,A3,I,W","Rain in the beginning",56,56,5513.0
36,2015-11-01,2015,MexicoCity,"A2,A3,I,W",,71,71,4304.0
37,2015-11-15,2015,SaoPaulo,"A2,A3,I,W",,71,71,4309.0
38,2015-11-29,2015,YasMarina,"A3,A4,I,W",,55,55,5554.0
39,2016-03-20,2016,Melbourne,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",57,58,5303.0
40,2016-04-03,2016,Sakhir,"A2,A3,A4,I,W",,57,57,5412.0
41,2016-04-17,2016,Shanghai,"A2,A3,A4,I,W",,56,56,5451.0
42,2016-05-01,2016,Sochi,"A2,A3,A4,I,W","SC followed directly on VSC",53,53,5848.0
43,2016-05-15,2016,Catalunya,"A1,A2,A3,I,W",,66,66,4655.0
44,2016-05-29,2016,MonteCarlo,"A3,A4,A5,I,W","Start behind SC because of rain",78,78,3337.0
45,2016-06-12,2016,Montreal,"A3,A4,A5,I,W",,70,70,4361.0
46,2016-06-19,2016,Baku,"A2,A3,A4,I,W",,51,51,6003.0
47,2016-07-03,2016,Spielberg,"A3,A4,A5,I,W","SC through pit lane",71,71,4318.0
48,2016-07-10,2016,Silverstone,"A1,A2,A3,I,W","Start behind SC because of rain",52,52,5891.0
49,2016-07-24,2016,Budapest,"A2,A3,A4,I,W",,70,70,4381.0
50,2016-07-31,2016,Hockenheim,"A2,A3,A4,I,W",,67,67,4574.0
51,2016-08-28,2016,Spa,"A2,A3,A4,I,W","SC, then red flag, restart behind SC",44,44,7004.0
52,2016-09-04,2016,Monza,"A2,A3,A4,I,W",,53,53,5793.0
53,2016-09-18,2016,Singapore,"A3,A4,A5,I,W","SC through pit lane",61,61,5063.0
54,2016-10-02,2016,KualaLumpur,"A1,A2,A3,I,W",,56,56,5543.0
55,2016-10-09,2016,Suzuka,"A1,A2,A3,I,W",,53,53,5807.0
56,2016-10-23,2016,Austin,"A2,A3,A4,I,W",,56,56,5513.0
57,2016-10-30,2016,MexicoCity,"A2,A3,A4,I,W","SC followed directly on VSC",71,71,4304.0
58,2016-11-13,2016,SaoPaulo,"A1,A2,A3,I,W","Wet race, start behind SC because of rain, red flag in lap 20/21, restart behind SC, red flag in lap 28/29",71,71,4309.0
59,2016-11-27,2016,YasMarina,"A3,A4,A5,I,W",,55,55,5554.0
60,2017-03-26,2017,Melbourne,"A3,A4,A5,I,W",,57,58,5303.0
61,2017-04-09,2017,Shanghai,"A2,A3,A4,I,W","Slightly wet in the beginning, SC through pit lane",56,56,5451.0
62,2017-04-16,2017,Sakhir,"A2,A3,A4,I,W",,57,57,5412.0
63,2017-04-30,2017,Sochi,"A3,A4,A5,I,W",,52,53,5848.0
64,2017-05-14,2017,Catalunya,"A1,A2,A3,I,W",,66,66,4655.0
65,2017-05-28,2017,MonteCarlo,"A3,A4,A5,I,W",,78,78,3337.0
66,2017-06-11,2017,Montreal,"A3,A4,A5,I,W",,70,70,4361.0
67,2017-06-25,2017,Baku,"A2,A3,A4,I,W","SC through pit lane in lap 17, second SC, then red flag in lap 22/23, restart behind SC",51,51,6003.0
68,2017-07-09,2017,Spielberg,"A3,A4,A5,I,W",,71,71,4318.0
69,2017-07-16,2017,Silverstone,"A2,A3,A4,I,W",,51,52,5891.0
70,2017-07-30,2017,Budapest,"A2,A3,A4,I,W",,70,70,4381.0
71,2017-08-27,2017,Spa,"A3,A4,A5,I,W",,44,44,7004.0
72,2017-09-03,2017,Monza,"A2,A3,A4,I,W",,53,53,5793.0
73,2017-09-17,2017,Singapore,"A3,A4,A5,I,W","Wet at the start, first SC through pit lane",58,61,5063.0
74,2017-10-01,2017,KualaLumpur,"A2,A3,A4,I,W",,56,56,5543.0
75,2017-10-08,2017,Suzuka,"A2,A3,A4,I,W",,53,53,5807.0
76,2017-10-22,2017,Austin,"A3,A4,A5,I,W",,56,56,5513.0
77,2017-10-29,2017,MexicoCity,"A3,A4,A5,I,W",,71,71,4304.0
78,2017-11-12,2017,SaoPaulo,"A2,A3,A4,I,W","SC through pit lane",71,71,4309.0
79,2017-11-26,2017,YasMarina,"A3,A4,A5,I,W",,55,55,5554.0
